source_rank,player_id,source_name,source_page_url,image_url,source_type,confidence,review_status,review_note
15,5519,Cameron Carr,https://baylorbears.com/sports/mens-basketball/roster/cameron-carr/14165,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fbaylorbears.com%2Fimages%2F2025%2F10%2F14%2FCarr_Cameron.png&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Replaces unrelated Wikimedia PDF URL with Baylor roster headshot.
30,6063,Killyan Toure,https://cyclones.com/sports/mens-basketball/roster/killyan-toure/13870,https://cyclones.com/images/2025/7/10/Killyan_Toure_2025-26_Headshot.jpg,official_roster_headshot,high,accepted,Iowa State roster JSON-LD image for the matched player.
38,5652,Braden Smith,https://purduesports.com/sports/mens-basketball/roster/braden-smith/14425,https://purduesports.com/imgproxy/kj3obyXMV_pCmjC2-SL1D8C5uA37GbG91M1PDDThDZU/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3B1cmR1ZXNwb3J0cy1jb20tcHJvZC8yMDI1LzA5LzEwL0xaUUJpUDlvVU9XaUVKR09TZDZuazdmUW81OHNkOW8zRHBBM1JCdVouanBn.jpg,official_roster_image,high,accepted,Replaces unrelated Wikimedia PDF URL with Purdue roster image.
51,6064,Braden Huff,https://gozags.com/sports/mens-basketball/roster/braden-huff/5748,https://gozags.com/images/2025/10/6/HUFF_BRADEN.JPG,official_roster_headshot,high,accepted,Gonzaga roster headshot for current player page.
58,6065,MoMo Faye,https://parisbasketball.com/en/equipe/first-team/,https://parisbasketball.com/wp-content/uploads/2025/09/Momo-1.png,official_team_profile_image,high,accepted,Paris Basketball first-team profile image for Mouhamed Faye.
59,6066,Adam Atamna,https://commons.wikimedia.org/wiki/File:Adam_Atamna_2_ASVEL_Basket_Euroleague_20251106_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Adam_Atamna_2_ASVEL_Basket_Euroleague_20251106_%281%29.jpg,wikimedia_commons_identified_player,high,accepted,Commons file title and description identify Adam Atamna with ASVEL.
64,6067,Nolan Winter,https://uwbadgers.com/sports/mens-basketball/roster/winter-nolan/14417,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuwbadgers.com%2Fimages%2F2025%2F8%2F13%2F34788942-download.jpeg&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Wisconsin roster headshot alt text identifies Nolan Winter.
66,6068,D’Shayne Montgomery,https://daytonflyers.com/sports/mens-basketball/roster/de-shayne-montgomery/15464,https://daytonflyers.com/images/2025/10/18/2_DeShayne-Montgomery_EGcWr.jpg,official_roster_headshot,high,accepted,Dayton roster image for De'Shayne Montgomery.
70,6070,K.J. Lewis,https://guhoyas.com/sports/mens-basketball/roster/kj-lewis/17403,https://guhoyas.com/images/2025/10/20/LEWIS_KJ_-_2526_Jersey_No_Smile.jpg,official_roster_headshot,high,accepted,Georgetown roster image for KJ Lewis.
78,5798,William Kyle,https://cuse.com/sports/mens-basketball/roster/william-kyle-iii/24614,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsuathletics.com%2Fimages%2F2025%2F9%2F18%2F42_-_William_Kyle-6A.jpg&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Replaces unrelated Wikimedia PDF URL with Syracuse roster headshot.
80,5500,Emanuel Sharp,https://uhcougars.com/sports/mens-basketball/roster/sharpemanuel/9540,https://uhcougars.com/images/2025/8/30/Sharp_Emanuel_rX3OH.jpg,official_roster_image,high,accepted,Replaces unrelated Wikimedia PDF URL with Houston roster image.
81,6071,Nick Boyd,https://uwbadgers.com/sports/mens-basketball/roster/nick-boyd/14419,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuwbadgers.com%2Fimages%2F2025%2F8%2F21%2F34788928_MBB-20250807-HEADSHOT-02-Nick_Boyd_JPG_Erik_Role_20250808_012726.JPG&width=180&height=270&type=webp,official_roster_headshot,high,accepted,Wisconsin roster headshot alt text identifies Nick Boyd.
